24018854	Deficiency of phytochrome B alleviates chilling-induced photoinhibition in rice.	2013	Am J Bot	UNLABELLED: OrderedDict([('@Label', 'UNLABELLED')])

METHODS: Wild rice was used to create a semi-synthetic diet containing approximately 60% of total energy from carbohydrate. Two other experimental diets were similar in macronutrient composition, but containing either white rice or commercial carbohydrate sources. All diets were supplemented with 0.06% (w/w) dietary cholesterol. The mice were divided into six experimental groups and fed with these diets over 24 weeks.

RESULTS: Consumption of wild rice significantly reduced the size and severity of atherosclerotic lesions in the aortic roots of male and female mice by 71 and 61% respectively, compared to the control group of the same gender. This effect was associated with significant reductions of plasma cholesterol levels by 15 and 40%, low density lipoprotein (LDL) levels by 12 and 42%, and very low density lipoprotein (VLDL) levels by 35 and 75% respectively, in male and female mice compared to the control group of the same gender. Increased fecal cholesterol excretion of up to 34% was also noted, compared to the control group of the same gender. However, the antiatherogenic effect of wild rice was not associated with increased superoxide dismutase (SOD) and catalase (CAT) activities.

CONCLUSION: Current data suggest that cholesterol-lowering effects of wild rice may be the main factor for the prevention of atherogenesis in LDLr-KO mice. Additional studies are needed to understand the mechanism of action.
24154623	A major QTL controlling deep rooting on rice chromosome 4.	2013	Sci Rep	Drought is the most serious abiotic stress that hinders rice production under rainfed conditions. Breeding for deep rooting is a promising strategy to improve the root system architecture in shallow-rooting rice cultivars to avoid drought stress. We analysed the quantitative trait loci (QTLs) for the ratio of deep rooting (RDR) in three F₂ mapping populations derived from crosses between each of three shallow-rooting varieties ('ARC5955', 'Pinulupot1', and 'Tupa729') and a deep-rooting variety, 'Kinandang Patong'. In total, we detected five RDR QTLs on chromosomes 2, 4, and 6. In all three populations, QTLs on chromosome 4 were found to be located at similar positions; they explained from 32.0% to 56.6% of the total RDR phenotypic variance. This suggests that one or more key genetic factors controlling the root growth angle in rice is located in this region of chromosome 4.
24083427	Effect of phosphorus levels on the protein profiles of secreted protein and root surface protein of rice.	2013	J Proteome Res	Plant roots are complicated organs that absorb water and nutrients from the soil. Roots also play an essential role in protecting plants from attack by soil pathogens and develop a beneficial role with some soil microorganisms. Plant-derived rhizosphere proteins (e.g., root secretory proteins and root surface binding proteins) are considered to play important roles in developing mutual relationships in the rhizosphere. In the rhizosphere, where plant roots meet the surrounding environment, it has been suggested that root secretory protein and root surface binding protein are important factors. Furthermore, it is not known how the physiological status of the plant affects the profile of these proteins. In this study, rice plants were grown aseptically, with or without phosphorus nutrition, and proteins were obtained from root bathing solution (designated as root secretory proteins) and obtained using 0.2 M CaCl2 solution (designated as root surface binding proteins). The total number of identified proteins in the root bathing solution was 458, and the number of root surface binding proteins was 256. More than half of the proteins were observed in both fractions. Most of the proteins were categorized as either having signal peptides or no membrane transport helix sites. The functional categorization suggested that most of the proteins seemed to have secretory pathways and were involved in defense/disease-related functions. These characteristics seem to be unique to rhizosphere proteins, and the latter might be part of the plants strategy to defeat pathogens in the soil. The low phosphorus treatment significantly increased the number of pathogenesis-related proteins in the root secretory proteins, whereas the change was small in the case of the root surface binding proteins. The results suggested that the roots are actively and selectively secreting protein into the rhizosphere.
24185036	Ionic liquid pretreatment to enhance the anaerobic digestion of lignocellulosic biomass.	2013	Bioresour Technol	Four lignocellulosic biomasses, water hyacinth, rice straw, mango leaves and spruce were pretreated by ionic liquid (IL) to enhance anaerobic digestion. The effect of pretreatment conditions, such as alkyl chain length of IL, temperature, time and operation cycle on lignocellulosic composition, structure and biogas production was evaluated. The enhancement of biogas production by [C4mim]Cl pretreatment at 120°C for 2 h decreases in the order of water hyacinth>spruce>rice straw>mango leaves. Higher methane production of regenerated rice straw and mango leaves could reach 233 and 125 mL/g carbohydrates under 140°C or 2 h and 140°C for 8, respectively. Furthermore, the technology of aqueous biphasic systems was developed to recovery IL, and the recovery rate of ILs was in the range of 54.3-94.6%.
24187491	Bone mass density estimation: Archimede's principle versus automatic X-ray histogram and edge detection technique in ovariectomized rats treated with germinated brown rice bioactives.	2013	Clin Interv Aging	BACKGROUND: Bone mass density is an important parameter used in the estimation of the severity and depth of lesions in osteoporosis. Estimation of bone density using existing methods in experimental models has its advantages as well as drawbacks.

MATERIALS AND METHODS: In this study, the X-ray histogram edge detection technique was used to estimate the bone mass density in ovariectomized rats treated orally with germinated brown rice (GBR) bioactives, and the results were compared with estimated results obtained using Archimede's principle. New bone cell proliferation was assessed by histology and immunohistochemical reaction using polyclonal nuclear antigen. Additionally, serum alkaline phosphatase activity, serum and bone calcium and zinc concentrations were detected using a chemistry analyzer and atomic absorption spectroscopy. Rats were divided into groups of six as follows: sham (nonovariectomized, nontreated); ovariectomized, nontreated; and ovariectomized and treated with estrogen, or Remifemin®, GBR-phenolics, acylated steryl glucosides, gamma oryzanol, and gamma amino-butyric acid extracted from GBR at different doses.

RESULTS: Our results indicate a significant increase in alkaline phosphatase activity, serum and bone calcium, and zinc and ash content in the treated groups compared with the ovariectomized nontreated group (P < 0.05). Bone density increased significantly (P < 0.05) in groups treated with estrogen, GBR, Remifemin®, and gamma oryzanol compared to the ovariectomized nontreated group. Histological sections revealed more osteoblasts in the treated groups when compared with the untreated groups. A polyclonal nuclear antigen reaction showing proliferating new cells was observed in groups treated with estrogen, Remifemin®, GBR, acylated steryl glucosides, and gamma oryzanol. There was a good correlation between bone mass densities estimated using Archimede's principle and the edge detection technique between the treated groups (r (2) = 0.737, P = 0.004).

CONCLUSION: Our study shows that GBR bioactives increase bone density, which might be via the activation of zinc formation and increased calcium content, and that X-ray edge detection technique is effective in the measurement of bone density and can be employed effectively in this respect.
24123409	Imaging neurodegeneration in the mouse hippocampus after neonatal hypoxia-ischemia using oscillating gradient diffusion MRI.	2014	Magn Reson Med	PURPOSE: To investigate if frequency-dependent contrasts using oscillating gradient diffusion MRI (dMRI) can detect hypoxia-ischemia (HI) -induced neurodegeneration in the neonatal mouse hippocampus.

METHODS: Pulsed- and oscillating-gradient dMR images (at 50, 100, and 150 Hz) were acquired from postmortem fixed brains of mice exposed to neonatal HI using the Rice-Vanucci model. MRI data were acquired at 1, 4, and 8 days following HI, and compared with histological data from the same mice for in situ histological validation of the MRI findings.

RESULTS: The rate of change of apparent diffusion coefficient with gradient frequency (Δf ADC) revealed unique layer-specific contrasts in the neonatal mouse hippocampus. Δf ADC measurements were found to show a significant decrease in response to neonatal HI injury, in the pyramidal (Py) and granule (GrDG) cell layers compared with contralateral regions. The areas of reduced intensity in the Δf ADC maps corresponded to regional neurodegeneration seen with H&E and Fluoro-Jade C stainings, indicating that alterations in Δf ADC contrasts are sensitive to early microstructural changes due to HI-induced neurodegeneration in the studied regions.

CONCLUSION: The findings show that the frequency-dependence of ADC measurements with oscillating-gradient dMRI can provide a sensitive contrast to detect HI-induced neurodegeneration in neuronal layers of the neonatal mouse hippocampus.
24101772	Stress-induced cytokinin synthesis increases drought tolerance through the coordinated regulation of carbon and nitrogen assimilation in rice.	2013	Plant Physiol	The effects of water deficit on carbon and nitrogen metabolism were investigated in flag leaves of wild-type and transgenic rice (Oryza sativa japonica 'Kitaake') plants expressing ISOPENTENYLTRANSFERASE (IPT; encoding the enzyme that mediates the rate-limiting step in cytokinin synthesis) under the control of P(SARK), a maturation- and stress-induced promoter. While the wild-type plants displayed inhibition of photosynthesis and nitrogen assimilation during water stress, neither carbon nor nitrogen assimilation was affected by stress in the transgenic P(SARK)::IPT plants. In the transgenic plants, photosynthesis was maintained at control levels during stress and the flag leaf showed increased sucrose (Suc) phosphate synthase activity and reduced Suc synthase and invertase activities, leading to increased Suc contents. The sustained carbon assimilation in the transgenic P(SARK)::IPT plants was well correlated with enhanced nitrate content, higher nitrate reductase activity, and sustained ammonium contents, indicating that the stress-induced cytokinin synthesis in the transgenic plants played a role in maintaining nitrate acquisition. Protein contents decreased and free amino acids increased in wild-type plants during stress, while protein content was preserved in the transgenic plants. Our results indicate that the stress-induced cytokinin synthesis in the transgenic plants promoted sink strengthening through a cytokinin-dependent coordinated regulation of carbon and nitrogen metabolism that facilitates an enhanced tolerance of the transgenic plants to water deficit.
24288473	Application of potential phosphate-solubilizing bacteria and organic acids on phosphate solubilization from phosphate rock in aerobic rice.	2013	ScientificWorldJournal	A study was conducted at Universiti Putra Malaysia to determine the effect of phosphate-solubilizing bacteria (PSB) and organic acids (oxalic & malic) on phosphate (P) solubilization from phosphate rock (PR) and growth of aerobic rice. Four rates of each organic acid (0, 10, 20, and 30 mM), and PSB strain (Bacillus sp.) were applied to aerobic rice. Total bacterial populations, amount of P solubilization, P uptake, soil pH, and root morphology were determined. The results of the study showed significantly high P solubilization in PSB with organic acid treatments. Among the two organic acids, oxalic acid was found more effective compared to malic acid. Application of oxalic acid at 20 mM along with PSB16 significantly increased soluble soil P (28.39 mg kg(-1)), plant P uptake (0.78 P pot(-1)), and plant biomass (33.26 mg). Addition of organic acids with PSB and PR had no influence on soil pH during the planting period. A higher bacterial population was found in rhizosphere (8.78 log10 cfu g(-1)) compared to the nonrhizosphere and endosphere regions. The application of organic acids along with PSB enhanced soluble P in the soil solution, improved root growth, and increased plant biomass of aerobic rice seedlings without affecting soil pH.
24136625	Single and fused transgenic Bacillus thuringiensis rice alter the species-specific responses of non-target planthoppers to elevated carbon dioxide and temperature.	2014	Pest Manag Sci	BACKGROUND: The approval of transgenic Bacillus thuringiensis (Bt) rice by China was momentous for biotech crops, although it has yet to be approved for commercial production. Non-target pest problems in rice paddies, such as the three ecologically similar species of planthoppers Nilaparvata lugens, Laodelphax striatellus and Sogatella furcifera, could become increasingly serious under global climate change. Fused (Cry1Ab/Cry1Ac) and single (Cry1Ab) transgenic Bt rice were evaluated for effects on species-specific responses of planthoppers to elevated carbon dioxide (CO2) and temperature.

RESULTS: Transgenic Bt rice lines significantly modified species-specific responses of the planthoppers to elevated CO2 and temperature. High temperature appears to favour outbreaks of S. furcifera relative to N. lugens and L. striatellus when feeding upon fused transgenic Bt rice, especially at elevated CO2 . Elevated CO2 at high temperature appears to be a factor reducing S. furcifera occurrence when feeding upon single transgenic Bt rice.

CONCLUSION: Different types of transgenic Bt rice alter the species-specific responses of non-target planthoppers to elevated CO2 and temperature. Compared with their non-transgenic parental lines, the single transgenic Bt rice shows better performance in controlling the non-target planthopper S. furcifera by comparison with the fused transgenic Bt rice under elevated CO2 and temperature. It is suggested that multitypes of transgenic Bt rice be used in the field simultaneously in order to take advantage of high transgenic diversity for optimal performance against all pests in paddy fields.
24158250	Characterization and genetic mapping of a Photoperiod-sensitive dwarf 1 locus in rice (Oryza sativa L.).	2014	Theor Appl Genet	Plant height is an important agronomic trait for crop architecture and yield. Most known factors determining plant height function in gibberellin or brassinosteroid biosynthesis or signal transduction. Here, we report a japonica rice (Oryza sativa ssp. japonica) dominant dwarf mutant, Photoperiod-sensitive dwarf 1 (Psd1). The Psd1 mutant showed impaired cell division and elongation, and a severe dwarf phenotype under long-day conditions, but nearly normal growth in short-day. The plant height of Psd1 mutant could not be rescued by gibberellin or brassinosteroid treatment. Genetic analysis with R1 and F2 populations determined that Psd1 phenotype was controlled by a single dominant locus. Linkage analysis with 101 tall F2 plants grown in a long-day season, which were derived from a cross between Psd1 and an indica cultivar, located Psd1 locus on chromosome 1. Further fine-mapping with 1017 tall F2 plants determined this locus on an 11.5-kb region. Sequencing analysis of this region detected a mutation site in a gene encoding a putative lipid transfer protein; the mutation produces a truncated C-terminus of the protein. This study establishes the genetic foundation for understanding the molecular mechanisms regulating plant cell division and elongation mediated by interaction between genetic and environmental factors.
24083549	Proteomic and transcriptomic analyses of fecundity in the brown planthopper Nilaparvata lugens (Stål).	2013	J Proteome Res	As an r-strategy insect species, the brown planthopper (BPH) Nilaparvata lugens (Stål) is a serious pest of rice crops in the temperate and tropical regions of Asia and Australia, which may be due to its robust fecundity. Here we combined 2-DE comparative proteomic and RNA-seq transcriptomic analyses to identify fecundity-related proteins and genes. Using high- and low-fecundity populations as sample groups, a total of 54 and 75 proteins were significantly altered in the third and sixth day brachypterous female stages, respectively, and 39 and 54 of these proteins were identified by MALDI-TOF/TOF MS. In addition, 71,966 unigenes were quantified by Illumina sequencing. On the basis of the transcriptomic analysis, 7408 and 1639 unigenes demonstrated higher expression levels in the high-fecundity population in the second day brachypterous female adults and the second day fifth instar nymphs, respectively, and 411 unigenes were up-regulated in both groups. Of these dozens of proteins and thousands of unigenes, five were differentially expressed at both the protein and mRNA levels at all four time points, suggesting that these genes may regulate fecundity. Glutamine synthetase (GS) was chosen for further functional studies. RNAi knockdown of the GS gene reduced the fecundity of N. lugens by 64.6%, disrupted ovary development, and inhibited vitellogenin (Vg) expression. Our results show that a combination of proteomic and transcriptomic analyses provided five candidate proteins and genes for further study. The knowledge gained from this study may lead to a more fundamental understanding of the fecundity of this important agricultural insect pest.
24145853	A putative candidate for the recessive gall midge resistance gene gm3 in rice identified and validated.	2014	Theor Appl Genet	KEY MESSAGE: We report here tagging and fine-mapping of gm3 gene, development of a functional marker for it and its use in marker-assisted selection. The recessive rice gall midge resistance gene, gm3 identified in the rice breeding line RP2068-18-3-5 confers resistance against five of the seven Indian biotypes of the Asian rice gall midge Orseolia oryzae. We report here tagging and fine-mapping of gm3 gene, development of a functional marker for it and demonstrated its use in marker-assisted selection (MAS). A mapping population consisting of 302 F10 recombinant inbred lines derived from the cross TN1 (susceptible)/RP2068-18-3-5, was screened against gall midge biotype 4 (GMB4) and analyzed with a set of 89 polymorphic SSR markers distributed uniformly across the rice genome. Two SSR markers, RM17480 and gm3SSR4, located on chromosome 4L displayed high degree of co-segregation with the trait phenotype and flanked the gene. In silico analysis of the genomic region spanning these two markers contained 62 putatively expressed genes, including a gene encoding an NB-ARC (NBS-LRR) domain containing protein. A fragment of this gene was amplified with the designed marker, NBcloning 0.9 Kb from the two susceptible TN1, Improved Samba Mahsuri (B95-1) and two resistant cultivars, RP 2068-18-3-5 and Phalguna (with Gm2 gene). The amplicons were observed to be polymorphic between the susceptible and resistant genotypes and hence were cloned and sequenced. A new primer, gm3del3, which was designed based on sequence polymorphism, amplified fragments with distinct size polymorphism among RP2068-18-3-5, Phalguna and TN1 and B95-1 and displayed no recombination in the entire mapping population. Expression of the candidate NB-ARC gene in the susceptible TN1 and the resistant RP2068-18-3-5 plants following infestation with GMB4 was analyzed, through real-time reverse transcription PCR. Results showed twofold enhanced expression in RP2068-18-3-5 plants, but not in TN1 plants, 120 h after infestation. Amino acid sequence and structure analysis of the proteins coded by different alleles of gm3 gene showed deletion of eight amino acids due to an early stop codon in RP2068-18-3-5 resulting in a change in the functional domain of the protein. The gm3del3 was used as a functional marker for introgression of gm3 gene into the genetic background of the elite bacterial blight resistant cultivar Improved Samba Mahsuri (B95-1) through MAS.
24098512	Transcriptomics of the rice blast fungus Magnaporthe oryzae in response to the bacterial antagonist Lysobacter enzymogenes reveals candidate fungal defense response genes.	2013	PLoS One	Plants and animals have evolved a first line of defense response to pathogens called innate or basal immunity. While basal defenses in these organisms are well studied, there is almost a complete lack of understanding of such systems in fungal species, and more specifically, how they are able to detect and mount a defense response upon pathogen attack. Hence, the goal of the present study was to understand how fungi respond to biotic stress by assessing the transcriptional profile of the rice blast pathogen, Magnaporthe oryzae, when challenged with the bacterial antagonist Lysobacter enzymogenes. Based on microscopic observations of interactions between M. oryzae and wild-type L. enzymogenes strain C3, we selected early and intermediate stages represented by time-points of 3 and 9 hours post-inoculation, respectively, to evaluate the fungal transcriptome using RNA-seq. For comparative purposes, we also challenged the fungus with L. enzymogenes mutant strain DCA, previously demonstrated to be devoid of antifungal activity. A comparison of transcriptional data from fungal interactions with the wild-type bacterial strain C3 and the mutant strain DCA revealed 463 fungal genes that were down-regulated during attack by C3; of these genes, 100 were also found to be up-regulated during the interaction with DCA. Functional categorization of genes in this suite included those with roles in carbohydrate metabolism, cellular transport and stress response. One gene in this suite belongs to the CFEM-domain class of fungal proteins. Another CFEM class protein called PTH11 has been previously characterized, and we found that a deletion in this gene caused advanced lesion development by C3 compared to its growth on the wild-type fungus. We discuss the characterization of this suite of 100 genes with respect to their role in the fungal defense response.
24014575	Phytochrome C is a key factor controlling long-day flowering in barley.	2013	Plant Physiol	The spring-type near isogenic line (NIL) of the winter-type barley (Hordeum vulgare ssp. vulgare) var. Hayakiso 2 (HK2) was developed by introducing VERNALIZATION-H1 (Vrn-H1) for spring growth habit from the spring-type var. Indo Omugi. Contrary to expectations, the spring-type NIL flowered later than winter-type HK2. This phenotypic difference was controlled by a single gene, which cosegregated only with phytochrome C (HvPhyC) among three candidates around the Vrn-H1 region (Vrn-H1, HvPhyC, and CASEIN KINASE IIα), indicating that HvPhyC was the most likely candidate gene. Compared with the late-flowering allele HvPhyC-l from the NIL, the early-flowering allele HvPhyC-e from HK2 had a single nucleotide polymorphism T1139C in exon 1, which caused a nonsynonymous amino acid substitution of phenylalanine at position 380 by serine in the functionally essential GAF (3', 5'-cyclic-GMP phosphodiesterase, adenylate cyclase, formate hydrogen lyase activator protein) domain. Functional assay using a rice (Oryza sativa) phyA phyC double mutant line showed that both of the HvPhyC alleles are functional, but HvPhyC-e may have a hyperfunction. Expression analysis using NILs carrying HvPhyC-e and HvPhyC-l (NIL [HvPhyC-e] and NIL [HvPhyC-l], respectively) showed that HvPhyC-e up-regulated only the flowering promoter FLOWERING LOCUS T1 by bypassing the circadian clock genes and flowering integrator CONSTANS1 under a long photoperiod. Consistent with the up-regulation, NIL (HvPhyC-e) flowered earlier than NIL (HvPhyC-l) under long photoperiods. These results implied that HvPhyC is a key factor to control long-day flowering directly.
24162153	Major QTLs reduce the deleterious effects of high temperature on rice amylose content by increasing splicing efficiency of Wx pre-mRNA.	2014	Theor Appl Genet	KEY MESSAGE: We discovered four QTLs that maintain proper rice amylose content at high temperature by increasing the splicing efficiency of Wx gene. Amylose content mainly controlled by Wx gene is a key physicochemical property for eating and cooking quality in rice. During the grain filling stage, high temperature can harm rice grain quality by significantly reducing the amylose content in many rice varieties. Here, we provide genetic evidences between Wx gene expression and rice amylose content at high temperature, and identified several quantitative trait loci (QTLs) in this pathway. We performed a genome-wide survey on a set of chromosome segment substitution lines (CSSLs) which carried chromosomal segments from the heat resistant indica 9311 in the heat-sensitive japonica Nipponbare background. Four QTLs, qHAC4, qHAC8a, qHAC8b and qHAC10, which can reduce the deleterious effects of amylose content at high temperature, were identified and mapped to chromosome 4, 8, 8 and 10, respectively. The major QTL qHAC8a, with the highest LOD score of 6.196, was physically mapped to a small chromosome segment (~300 kb). The CSSLs carrying the qHAC8a, qHAC8b and/or qHAC4 from 9311 have the high pre-mRNA splicing efficiency of Wx gene and likely lead to stable amylose content at high temperature. Thus, increasing pre-mRNA processing efficiency of Wx gene could be an important regulation mechanism for maintaining stable amylose content in rice seeds at high temperature. In addition, our results provide a theoretical basis for breeding heat-stable grain in rice.
24164326	Transcriptome profiling in response to different types of ionizing radiation and identification of multiple radio marker genes in rice.	2014	Physiol Plant	Ionizing radiation (IR) affects gene expression from plant genomes. To monitor the genome-wide transcriptional changes induced by three types of IR, we used the rice Affymetrix GeneChip microarray to identify genes that are up- or down-regulated by gamma rays (GAs), cosmic rays (CRs) and ion beams (IBs). The overall expression patterns in rice seedlings generated from seeds exposed to GAs and IBs were similar but differed for CRs exposure. Expression profiles of genes involved in metabolic pathways and cellular response were identified using MapMan analysis. This result revealed that IRs induced gene expression related to sucrose-starch metabolisms; sugar and starch accumulation was significantly increased in response to three types of IR in rice. In addition, we compared the genes commonly up- or down-regulated by exposure to three types of IR and identified 53 candidate radio marker genes (RMGs) that were differentially regulated by radiation exposure but not by other stresses. Among these genes, we selected six RMGs commonly applicable to different types of IR by specific coexpression networks using the algorithm for the reconstruction of accurate cellular networks (aracne) and confirmed the expression of these genes by reverse transcription-polymerase chain reaction (RT-PCR) analysis. Our results provided insight into the mechanisms of the responses to different types of IR and identified multiple marker genes to predict sensitivity to three types of IR.
24114051	Genetic analysis and molecular mapping of low amylose gene du12(t) in rice (Oryza sativa L.).	2014	Theor Appl Genet	KEY MESSAGE: We obtained interesting results for genetic analysis and molecular mapping of the du12(t) gene. Control of the amylose content in rice is the major strategy for breeding rice with improved quality. In this study, we conducted genetic analysis and molecular mapping to identify the dull gene in the dull rice, Milyang262. A single recessive gene, tentatively designated as du12(t), was identified as the dull gene that leads to the low amylose character of Milyang262. To investigate the inheritance of du12(t), genetic analysis on an F2 population derived from a cross between the gene carrier, Milyang262, and a moderate amylose content variety, Junam, was conducted. A segregation ratio of 3:1 (χ (2) = 1.71, p = 0.19) was observed, suggesting that du12(t) is a single recessive factor that controls the dull character in Milyang262. Allelism tests confirmed that du12(t) is not allelic to other low amylose controlling genes, wx or du1. Recessive class analysis was performed to localize the du12(t) locus. Mapping of du12(t) was conducted on F2 and F3 populations of Baegokchal/Milyang262 cross. Linkage analysis of 120 F2 plants revealed that RM6926 and RM3509 flank du12(t) at a 2.38-Mb region. To refine the du12(t) locus position, 986 F2 and 289 F3 additional normal plants were screened by the flanking markers. Twenty-six recombinant plants were identified and later genotyped with four additional adjacent markers located between RM6926 and RM3509. Finally, du12(t) was mapped to an 840-kb region on the distal region of the long arm of chromosome 6, delimited by SSR markers RM20662 and RM412, and co-segregated by RM3765 and RM176.
24133650	Optimization and partial characterization of culture conditions for the production of alkaline protease from Bacillus licheniformis P003.	2013	Springerplus	Proteolytic enzymes have occupied a pivotal position for their practical applications. The present study was carried out under shake flask conditions for the production of alkaline protease from Bacillus licheniformis P003 in basal medium containing glucose, peptone, K2HPO4, MgSO4 and Na2CO3 at pH 10. The effect of culture conditions and medium components for maximum production of alkaline protease was investigated using one factor constant at a time method along with its characterization. Maximum level of enzyme production was obtained after 48h of incubation with 2% inoculum size at 42°C, under continuous agitation at 150 rpm, in growth medium of pH 9. Highest enzyme production was obtained using 1% rice flour as carbon source and 0.8% beef extract as organic nitrogen source. Results indicated that single organic nitrogen source alone was more suitable than using in combinations and there was no significant positive effect of adding inorganic nitrogen sources in basal medium. After optimization of the parameters, enzyme production was increased about 20 fold than that of in basal medium. The crude enzyme was highly active at pH 10 and stable from pH 7-11. The enzyme showed highest activity (100%) at 50°C, and retained 78% relative activity at 70°C. Stability studies showed that the enzyme retained 75% of its initial activity after heating at 60°C for 1h. The enzyme retained about 66% and 46% of its initial activity after 28 days of storage at 4°C and room temperature (25°C) respectively. Mn(2+) and Mg(2+) increased the residual activity of the enzyme, whereas Fe(2+) moderately inhibited its residual activity. When pre-incubated with Tween-20, Tween-80, SDS and H2O2, each at 0.5% concentration, the enzyme showed increased residual activity. These characteristics may make the enzyme suitable for several industrial applications, especially in leather industries.
24161240	Accumulation of PrLeg, a Perilla legumin protein in potato tuber results in enhanced level of sulphur-containing amino acids.	2013	C R Biol	Potato is the fourth staple food in the world, following rice, wheat, and maize, whereas tubers contain high quality of starch, relatively high amounts of vitamin C and many other important substances. It also contains relatively good quality of protein (about 3 to 6% of the dried weight) and patatin, and 11S globulin is a major storage protein with high level of lysine. However, tuber protein contains relatively low amounts of sulphur-containing amino acids, which may result in low nutritional value. Recently, we cloned a gene encoding PrLeg polypeptide, a seed storage protein from Perilla, which contains relatively higher levels of sulphur-containing amino acids. We transformed PrLeg cDNA into a potato plant to over-express under the direction of the tuber-specific promoter, patatin. Most of the transgenic lines identified through PCR and RT-PCR analyses were able to accumulate high amount of prLeg transcript in their tuber tissue, while very little or no transcript that were detected in their leaf tissues. The level of methionine content was elevated up to three-fold compared to non-transgenic parental line, without any significant changes in other amino acids, suggesting that further research is required to get a deeper insight into their nutritional value.
24143239	Inhibition of human MCF-7 breast cancer cells and HT-29 colon cancer cells by rice-produced recombinant human insulin-like growth binding protein-3 (rhIGFBP-3).	2013	PLoS One	BACKGROUND: Insulin-like growth factor binding protein-3 (IGFBP-3) is a multifunctional molecule which is closely related to cell growth, apoptosis, angiogenesis, metabolism and senescence. It combines with insulin-like growth factor-I (IGF-I) to form a complex (IGF-I/IGFBP-3) that can treat growth hormone insensitivity syndrome (GHIS) and reduce insulin requirement in patients with diabetes. IGFBP-3 alone has been shown to have anti-proliferation effect on numerous cancer cells.

METHODOLOGY/PRINCIPAL FINDINGS: We reported here an expression method to produce functional recombinant human IGFBP-3 (rhIGFBP-3) in transgenic rice grains. Protein sorting sequences, signal peptide and endoplasmic reticulum retention tetrapeptide (KDEL) were included in constructs for enhancing rhIGFBP-3 expression. Western blot analysis showed that only the constructs with signal peptide were successfully expressed in transgenic rice grains. Both rhIGFBP-3 proteins, with or without KDEL sorting sequence inhibited the growth of MCF-7 human breast cancer cells (65.76 ± 1.72% vs 45.00 ± 0.86%, p < 0.05; 50.84 ± 1.97% vs 45.00 ± 0.86%, p < 0.01 respectively) and HT-29 colon cancer cells (65.14 ± 3.84% vs 18.01 ± 13.81%, p < 0.05 and 54.7 ± 9.44% vs 18.01 ± 13.81%, p < 0.05 respectively) when compared with wild type rice.

CONCLUSION/SIGNIFICANCE: These findings demonstrated the feasibility of producing biological active rhIGFBP-3 in rice using a transgenic approach, which will definitely encourage more research on the therapeutic use of hIGFBP-3 in future.
24151305	In vitro binding of Sorghum bicolor transcription factors ABI4 and ABI5 to a conserved region of a GA 2-OXIDASE promoter: possible role of this interaction in the expression of seed dormancy.	2013	J Exp Bot	The precise adjustment of the timing of dormancy release according to final grain usage is still a challenge for many cereal crops. Grain sorghum [Sorghum bicolor (L.) Moench] shows wide intraspecific variability in dormancy level and susceptibility to pre-harvest sprouting (PHS). Both embryo sensitivity to abscisic acid (ABA) and gibberellin (GA) metabolism play an important role in the expression of dormancy of the developing sorghum grain. In previous works, it was shown that, simultaneously with a greater embryo sensitivity to ABA and higher expression of SbABA-INSENSITIVE 4 (SbABI4) and SbABA-INSENSITIVE 5 (SbABI5), dormant grains accumulate less active GA4 due to a more active GA catabolism. In this work, it is demonstrated that the ABA signalling components SbABI4 and SbABI5 interact in vitro with a fragment of the SbGA 2-OXIDASE 3 (SbGA2ox3) promoter containing an ABA-responsive complex (ABRC). Both transcription factors were able to bind the promoter, although not simultaneously, suggesting that they might compete for the same cis-acting regulatory sequences. A biological role for these interactions in the expression of dormancy of sorghum grains is proposed: either SbABI4 and/or SbABI5 activate transcription of the SbGA2ox3 gene in vivo and promote SbGA2ox3 protein accumulation; this would result in active degradation of GA4, thus preventing germination of dormant grains. A comparative analysis of the 5'-regulatory region of GA2oxs from both monocots and dicots is also presented; conservation of the ABRC in closely related GA2oxs from Brachypodium distachyon and rice suggest that these species might share the same regulatory mechanism as proposed for grain sorghum.
24132771	The rice nuclear gene WLP1 encoding a chloroplast ribosome L13 protein is needed for chloroplast development in rice grown under low temperature conditions.	2014	Plant Mol Biol	Plastidial ribosome proteins (PRPs) form the major component of the plastidial ribosome. Here we describe a rice mutant named wlp1 (white leaf and panicles 1) selected from a population of tissue culture regenerants. The early seedling leaves of the mutant were albino, as was the immature panicle at heading, and the phenotype was more strongly expressed in plants exposed to low temperature conditions. Changes in the leaf pigmentation of the mutant were due to altered chlorophyll content and chloroplast development. Positional cloning of WLP1, followed by complementation and knock-down experiments, showed that it encodes a 50S ribosome L13 protein. The WLP1 protein localized to the chloroplast. WLP1 was mainly transcribed in green tissues and particularly abundantly in the early seedling leaves. In addition, the expression level of WLP1 was induced by the low temperature. The transcription pattern of a number of genes involved in plastidial transcription/translation and in photosynthesis was altered in the wlp1 mutants. These results reveal that WLP1 is required for normal chloroplast development, especially under low temperature conditions. This is the first report on the function of PRPs in rice.
